Title,Year,Format,AVS,Catalogue
Angel Has Fallen,2019,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58825108,https://beqcatalogue.readthedocs.io/en/latest/58825108/
The Angry Birds Movie,2016,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58780024,https://beqcatalogue.readthedocs.io/en/latest/58780024/
The Angry Birds Movie 2,2019,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58767198,https://beqcatalogue.readthedocs.io/en/latest/58767198/
Anna,2019,Atmos / DD+ Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58539510,https://beqcatalogue.readthedocs.io/en/latest/58539510/
Annihilation,2018,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56759084,https://beqcatalogue.readthedocs.io/en/latest/56759084/
Anon,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57028842,https://beqcatalogue.readthedocs.io/en/latest/57028842/
Ant-Man,2015,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56759266,https://beqcatalogue.readthedocs.io/en/latest/56759266/
Ant-Man and the Wasp,2018,Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56899018,https://beqcatalogue.readthedocs.io/en/latest/56899018/
Apocalypse Now,1979,Final Cut Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58470962,https://beqcatalogue.readthedocs.io/en/latest/58470962/
Apocalypto,2006,Mayan LPCM 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59904238,https://beqcatalogue.readthedocs.io/en/latest/59904238/
Apollo 11,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58207082,https://beqcatalogue.readthedocs.io/en/latest/58207082/
Apollo 13,1995,DTS:X,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56694226,https://beqcatalogue.readthedocs.io/en/latest/56694226/
Aquaman,2018,Atmos / DD+ Atmos,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57696608,https://beqcatalogue.readthedocs.io/en/latest/57696608/
Arizona,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56908660,https://beqcatalogue.readthedocs.io/en/latest/56908660/
Argo,Feb.19/2013,BD/DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58982434,https://beqcatalogue.readthedocs.io/en/latest/58982434/
Arkansas,2020,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59599034,https://beqcatalogue.readthedocs.io/en/latest/59599034/
Armageddon,1998,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57770200,https://beqcatalogue.readthedocs.io/en/latest/57770200/
Army of Darkness,1992,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58420266,https://beqcatalogue.readthedocs.io/en/latest/58420266/
The Evil Dead,1981,TrueHD 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58420304,https://beqcatalogue.readthedocs.io/en/latest/58420304/
The Evil Dead II,1987,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58421314,https://beqcatalogue.readthedocs.io/en/latest/58421314/
Arrival,2016,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-56759308,https://beqcatalogue.readthedocs.io/en/latest/56759308/
The Art of Flight,2011,TrueHD 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57907066,https://beqcatalogue.readthedocs.io/en/latest/57907066/
The Art of Racing in the Rain,2019,DTS-HD MA 7.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58812218,https://beqcatalogue.readthedocs.io/en/latest/58812218/
The Art of Self-Defence,2019,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-58742390,https://beqcatalogue.readthedocs.io/en/latest/58742390/
Asher,2018,DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-57409024,https://beqcatalogue.readthedocs.io/en/latest/57409024/
Ashfall,2019,Korean TrueHD 5.1 / DTS-HD MA 5.1,https://www.avsforum.com/threads/bass-eq-for-filtered-movies.2995212/post-59681298,https://beqcatalogue.readthedocs.io/en/latest/59681298/
